Index	x	y	Temp
162	2	1	40,05957153
163	2,5	1	34,57652565
164	3	1	30,60933113
165	3,5	1	27,72830197
166	4	1	25,6320353
167	4,5	1	24,10526311
168	5	1	22,99270974
169	5,5	1	22,18178811
170	6	1	21,59064374
171	6,5	1	21,1596837
172	7	1	20,84549173
173	7,5	1	20,61642576
174	8	1	20,44942061
175	8,5	1	20,3276616
176	9	1	20,23889013
177	9,5	1	20,17416895
178	10	1	20,12698222
179	10,5	1	20,09257939
180	11	1	20,06749696
181	11,5	1	20,04920977
182	12	1	20,03587676
183	12,5	1	20,02615562
184	13	1	20,0190677
185	13,5	1	20,01389941
186	14	1	20,01013043
187	14,5	1	20,00738134
188	15	1	20,00537536
189	15,5	1	20,00391054
190	16	1	20,00283941
191	16,5	1	20,00205414
192	17	1	20,00147566
193	17,5	1	20,00104575
194	18	1	20,00072111
195	18,5	1	20,00046907
196	19	1	20,00026428
197	19,5	1	20,00008615
198	0,25	1,25	89,81016246
199	0,75	1,25	70,80507179
200	1,25	1,25	56,88423532
201	1,75	1,25	46,80907946
202	2,25	1,25	39,51177718
203	2,75	1,25	34,21236829
204	3,25	1,25	30,35692122
205	3,75	1,25	27,54912889
206	4,25	1,25	25,50320212
207	4,75	1,25	24,01199953
208	5,25	1,25	22,9249599
209	5,75	1,25	22,13248452
210	6,25	1,25	21,55473141
211	6,75	1,25	21,13351335
212	7,25	1,25	20,82641616
213	7,75	1,25	20,60251991
214	8,25	1,25	20,43928279
215	8,75	1,25	20,32027055
216	9,25	1,25	20,23350152
217	9,75	1,25	20,17024021
218	10,25	1,25	20,12411779
219	10,75	1,25	20,09049088
220	11,25	1,25	20,06597412
221	11,75	1,25	20,04809927
222	12,25	1,25	20,0350668
223	12,75	1,25	20,02556467
224	13,25	1,25	20,01863625
225	13,75	1,25	20,01358403
226	14,25	1,25	20,00989938
227	14,75	1,25	20,00721134
228	15,25	1,25	20,0052493
229	15,75	1,25	20,00381573
230	16,25	1,25	20,00276631
231	16,75	1,25	20,00199539
232	17,25	1,25	20,00142535
233	17,75	1,25	20,00099881
234	18,25	1,25	20,00067282
235	18,75	1,25	20,00041459
236	19,25	1,25	20,00019812
237	0	1,5	106,2271046
238	0,5	1,5	84,01656594
239	1	1,5	67,0270296
240	1,5	1,5	54,38646823
241	2	1,5	45,10062798
242	2,5	1,5	38,31038355
243	3	1,5	33,35323284
244	3,5	1,5	29,73681894
245	4	1,5	27,09935934
246	4,5	1,5	25,17615075
247	5	1,5	23,77387452
248	5,5	1,5	22,75146721
249	6	1,5	22,006039
250	6,5	1,5	21,46255921
251	7	1,5	21,06631877
252	7,5	1,5	20,77742838
253	8	1,5	20,56680487
254	8,5	1,5	20,41324407
255	9	1,5	20,3012864
256	9,5	1,5	20,21966062
257	10	1,5	20,16014907
258	10,5	1,5	20,11676048
259	11	1,5	20,0851267
260	11,5	1,5	20,06206303
261	12	1,5	20,04524752
262	12,5	1,5	20,03298729
263	13	1,5	20,02404805
264	13,5	1,5	20,01752984
265	14	1,5	20,01277643
266	14,5	1,5	20,00930929
267	15	1,5	20,00677936
268	15,5	1,5	20,00493194
269	16	1,5	20,00358104
270	16,5	1,5	20,00259066
271	17	1,5	20,0018611
272	17,5	1,5	20,0013189
273	18	1,5	20,00090948
274	18,5	1,5	20,00059163
275	19	1,5	20,00033337
276	19,5	1,5	20,00010869
277	0,25	1,75	97,64404671
278	0,75	1,75	77,80698281
279	1,25	1,75	62,61182849
280	1,75	1,75	51,24072964
281	2,25	1,75	42,84092564
282	2,75	1,75	36,67646308
283	3,25	1,75	32,16717879
284	3,75	1,75	28,87404687
285	4,25	1,75	26,47105947
286	4,75	1,75	24,71834187
287	5,25	1,75	23,4401968
288	5,75	1,75	22,50822764
289	6,25	1,75	21,82871243
290	6,75	1,75	21,33327964
291	7,25	1,75	20,97206593
292	7,75	1,75	20,70871153
293	8,25	1,75	20,51670526
294	8,75	1,75	20,37671768
295	9,25	1,75	20,27465586
296	9,75	1,75	20,20024486
297	10,25	1,75	20,14599343
298	10,75	1,75	20,10643982
299	11,25	1,75	20,07760199
300	11,75	1,75	20,05657672
301	12,25	1,75	20,04124729
302	12,75	1,75	20,03007042
303	13,25	1,75	20,02192087
304	13,75	1,75	20,0159782
305	14,25	1,75	20,01164413
306	14,75	1,75	20,00848233
307	15,25	1,75	20,00617448
308	15,75	1,75	20,00448825
309	16,25	1,75	20,00325387
310	16,75	1,75	20,00234708
311	17,25	1,75	20,00167657
312	17,75	1,75	20,00117486
313	18,25	1,75	20,00079143
314	18,75	1,75	20,00048769
315	19,25	1,75	20,00023307
316	0	2	111,4051524
317	0,5	2	88,92736388
318	1	2	71,2569718
319	1,5	2	57,77684434
320	2	2	47,69897799
